filename,local_path,class,source,observation_id,observation_uri,species,taxon_name,photo_id,photo_url,photo_license,photo_attribution,search_query
mobbing_wiki_10201920.jpg,/home/kylelima21/BISONN/data/labeled/mobbing/mobbing_wiki_10201920.jpg,mobbing,wikimedia,,File:Swamp Harrier - Juvenile.jpg,,,10201920,,CC BY-SA 2.0,David Hewett,
mobbing_wiki_104543356.jpg,/home/kylelima21/BISONN/data/labeled/mobbing/mobbing_wiki_104543356.jpg,mobbing,wikimedia,,File:Red-winged blackbird attacks great egret (72158).jpg,,,104543356,,CC BY-SA 4.0,Rhododendrites,
mobbing_wiki_105235963.jpg,/home/kylelima21/BISONN/data/labeled/mobbing/mobbing_wiki_105235963.jpg,mobbing,wikimedia,,"File:American Crow mobbing Red-tailed Hawk, Santa Barbara, California (51114795558).jpg",,,105235963,,CC BY 2.0,"Channel City Camera Club from Santa Barbara, US",
mobbing_wiki_105236268.jpg,/home/kylelima21/BISONN/data/labeled/mobbing/mobbing_wiki_105236268.jpg,mobbing,wikimedia,,"File:American Crow mobbing Red-tailed Hawk, Santa Barbara, California (51112363699).jpg",,,105236268,,CC BY 2.0,"Channel City Camera Club from Santa Barbara, US",
mobbing_wiki_105248849.jpg,/home/kylelima21/BISONN/data/labeled/mobbing/mobbing_wiki_105248849.jpg,mobbing,wikimedia,,"File:American Crow mobbing Red-tailed Hawk, Santa Barbara, California (51017274143).jpg",,,105248849,,CC BY 2.0,"Channel City Camera Club from Santa Barbara, US",
mobbing_wiki_105320250.jpg,/home/kylelima21/BISONN/data/labeled/mobbing/mobbing_wiki_105320250.jpg,mobbing,wikimedia,,"File:American Crow mobbing Red-tailed Hawk, Santa Barbara, California (49899101771).jpg",,,105320250,,CC BY 2.0,"Channel City Camera Club from Santa Barbara, US",
mobbing_wiki_105381204.jpg,/home/kylelima21/BISONN/data/labeled/mobbing/mobbing_wiki_105381204.jpg,mobbing,wikimedia,,File:Crow mobbing red-tailed hawk (45805).jpg,,,105381204,,CC BY-SA 4.0,Rhododendrites,
mobbing_wiki_106051947.jpg,/home/kylelima21/BISONN/data/labeled/mobbing/mobbing_wiki_106051947.jpg,mobbing,wikimedia,,File:Red-shouldered Hawk harasses Red-tailed Hawk (50854764961).jpg,,,106051947,,CC BY 2.0,Channel City Camera Club/Susan T. Cook,
mobbing_wiki_106051948.jpg,/home/kylelima21/BISONN/data/labeled/mobbing/mobbing_wiki_106051948.jpg,mobbing,wikimedia,,File:Red-tailed Hawk harassed by a crow (50854765031).jpg,,,106051948,,CC BY 2.0,"Channel City Camera Club from Santa Barbara, US",
mobbing_wiki_106210223.jpg,/home/kylelima21/BISONN/data/labeled/mobbing/mobbing_wiki_106210223.jpg,mobbing,wikimedia,,File:Bullock's Oriole pesters a Red-tailed Hawk (51213894185).jpg,,,106210223,,CC BY 2.0,Channel City Camera Club/Susan T. Cook,
